case_id,employee_id,created_date,resolved_date,country,department,category,priority,channel,agent_id,agent_tenure_months,sla_target_hours,resolution_hours,sla_met,first_contact_resolution,reopened,csat
C000056,E02729,2025-07-01,2025-07-04,IT,Operations,Payroll,Standard,Chat,A037,15,24,79.8,0,0,0,3
C000057,E02753,2025-07-01,2025-07-03,ES,Customer Service,Performance & Development,Standard,Chat,A025,3,72,53.4,1,0,0,5
C000058,E02888,2025-07-01,2025-07-02,IT,Operations,Payroll,High,Portal,A039,11,24,12.0,1,1,0,
C000059,E02890,2025-07-01,2025-07-01,PL,Tech,Leave & Absence,Standard,Portal,A034,20,24,12.8,1,1,0,
C000060,E02911,2025-07-01,2025-07-04,IT,Customer Service,Contract & Documents,High,Phone,A026,11,48,74.6,0,1,0,4
C000061,E02932,2025-07-01,2025-07-01,PL,Finance,Systems & Access,High,Portal,A026,11,8,0.8,1,1,0,
C000062,E02946,2025-07-01,2025-07-01,ES,HR,Payroll,Standard,Portal,A032,48,24,5.9,1,1,0,
C000063,E03068,2025-07-01,2025-07-01,DE,Operations,Systems & Access,Standard,Chat,A003,10,8,1.7,1,0,1,
C000064,E03079,2025-07-01,2025-07-05,IT,Tech,Contract & Documents,Standard,Portal,A010,7,48,103.9,0,1,0,
C000065,E03096,2025-07-01,2025-07-02,ES,Customer Service,Onboarding & Offboarding,High,Phone,A027,12,48,17.1,1,1,0,5
C000066,E03109,2025-07-01,2025-07-02,IT,Finance,Contract & Documents,Standard,Phone,A041,22,48,16.0,1,0,0,
C000067,E03143,2025-07-01,2025-07-03,DE,Tech,Contract & Documents,High,Portal,A014,11,48,54.9,0,0,1,
C000068,E03187,2025-07-01,2025-07-01,DE,Customer Service,Payroll,Standard,Chat,A007,2,24,6.9,1,1,0,
C000069,E03191,2025-07-01,2025-07-02,PL,Operations,Payroll,High,Portal,A006,4,24,12.0,1,0,1,3
C000070,E03246,2025-07-01,2025-07-02,IT,HR,Payroll,Standard,Portal,A020,11,24,20.1,1,1,0,
C000071,E03322,2025-07-01,2025-07-03,DE,Operations,Employee Relations,Standard,Chat,A005,10,72,48.0,1,1,0,5
C000072,E03344,2025-07-01,2025-07-02,DE,Tech,Leave & Absence,Standard,Portal,A029,17,24,15.7,1,1,0,5
C000073,E03381,2025-07-01,2025-07-01,IT,Customer Service,Payroll,Standard,Portal,A008,18,24,9.6,1,0,0,4
C000074,E03400,2025-07-01,2025-07-02,DE,Customer Service,Payroll,Standard,Portal,A010,7,24,28.6,0,0,0,
C000075,E03430,2025-07-01,2025-07-04,ES,Sales,Benefits,Standard,Portal,A007,2,48,65.8,0,0,0,3
C000076,E03435,2025-07-01,2025-07-01,PL,Operations,Systems & Access,High,Portal,A003,10,8,1.0,1,1,0,
C000077,E03480,2025-07-01,2025-07-02,PL,Customer Service,Onboarding & Offboarding,Standard,Chat,A016,51,48,28.1,1,1,0,
C000078,E03529,2025-07-01,2025-07-01,IT,Finance,Benefits,High,Portal,A010,7,48,3.4,1,1,0,5
C000079,E03532,2025-07-01,2025-07-02,IT,Customer Service,Contract & Documents,High,Phone,A032,48,48,21.8,1,1,0,
C000080,E03595,2025-07-01,2025-07-04,PL,Operations,Contract & Documents,Standard,Portal,A040,9,48,75.2,0,0,1,
C000081,E03603,2025-07-01,2025-07-03,IT,HR,Leave & Absence,High,Phone,A019,18,24,43.1,0,0,0,2
C000082,E03610,2025-07-01,2025-07-01,DE,Sales,Leave & Absence,Standard,Portal,A013,5,24,4.2,1,0,0,
C000083,E03702,2025-07-01,2025-07-02,ES,Sales,Leave & Absence,Standard,Chat,A028,17,24,11.9,1,1,0,5
C000084,E03707,2025-07-01,2025-07-04,IT,Finance,Performance & Development,Standard,Chat,A011,14,72,65.7,1,1,0,
C000085,E03721,2025-07-01,2025-07-02,PL,Customer Service,Benefits,High,Phone,A029,17,48,31.4,1,0,1,2
C000086,E03777,2025-07-01,2025-07-02,PL,Operations,Payroll,Standard,Portal,A027,12,24,21.0,1,1,0,5
C000087,E03871,2025-07-01,2025-07-01,DE,Tech,Leave & Absence,Standard,Portal,A015,9,24,4.4,1,1,0,
C000088,E03912,2025-07-01,2025-07-01,PL,Tech,Leave & Absence,Critical,Portal,A031,13,24,7.2,1,0,0,4
C000089,E03915,2025-07-01,2025-07-01,PL,Operations,Payroll,Standard,Phone,A039,11,24,8.8,1,1,0,
C000090,E03923,2025-07-01,2025-07-01,DE,Tech,Payroll,High,Portal,A026,11,24,13.2,1,1,0,5
C000091,E00009,2025-07-02,2025-07-02,DE,HR,Onboarding & Offboarding,Critical,Portal,A008,18,48,12.7,1,1,0,5
C000092,E00175,2025-07-02,2025-07-02,PL,Operations,Systems & Access,Standard,Portal,A008,18,8,2.5,1,1,0,
C000093,E00210,2025-07-02,2025-07-02,IT,Sales,Systems & Access,Standard,Phone,A021,29,8,1.4,1,0,0,
C000094,E00335,2025-07-02,2025-07-02,IT,Operations,Systems & Access,High,Chat,A035,21,8,1.8,1,1,0,
C000095,E00370,2025-07-02,2025-07-03,ES,Operations,Payroll,High,Portal,A003,10,24,13.7,1,0,0,
C000096,E00469,2025-07-02,2025-07-03,PL,HR,Leave & Absence,Standard,Portal,A004,2,24,25.8,0,0,0,
C000097,E00486,2025-07-02,2025-07-02,ES,Operations,Leave & Absence,Standard,Portal,A007,2,24,2.2,1,0,0,3
C000098,E00566,2025-07-02,2025-07-02,ES,Sales,Leave & Absence,Standard,Chat,A033,12,24,8.7,1,1,0,5
C000099,E00568,2025-07-02,2025-07-03,ES,Operations,Payroll,Standard,Portal,A021,29,24,23.0,1,0,1,
C000100,E00583,2025-07-02,2025-07-03,DE,Sales,Payroll,Standard,Phone,A042,1,24,16.9,1,0,0,5
C000101,E00616,2025-07-02,2025-07-02,IT,Customer Service,Payroll,Standard,Portal,A040,9,24,2.6,1,1,0,
C000102,E00793,2025-07-02,2025-07-03,PL,Customer Service,Onboarding & Offboarding,Critical,Portal,A006,4,48,15.2,1,0,0,4
C000103,E00878,2025-07-02,2025-07-02,ES,Customer Service,Payroll,Standard,Phone,A042,1,24,7.0,1,1,0,5
C000104,E00912,2025-07-02,2025-07-03,PL,Finance,Benefits,Standard,Portal,A037,15,48,16.2,1,0,1,
C000105,E00997,2025-07-02,2025-07-03,IT,Tech,Leave & Absence,Standard,Chat,A031,13,24,13.6,1,1,0,
C000106,E01023,2025-07-02,2025-07-02,DE,Operations,Systems & Access,Standard,Portal,A040,9,8,6.5,1,1,0,
C000107,E01028,2025-07-02,2025-07-02,IT,HR,Systems & Access,High,Portal,A002,23,8,2.0,1,1,0,
C000108,E01045,2025-07-02,2025-07-03,IT,Finance,Leave & Absence,Standard,Portal,A042,1,24,21.1,1,0,1,4
C000109,E01154,2025-07-02,2025-07-02,IT,HR,Systems & Access,Standard,Portal,A028,17,8,4.8,1,1,0,4
C000110,E01175,2025-07-02,2025-07-04,IT,Operations,Payroll,Critical,Phone,A003,10,24,38.8,0,1,0,
C000111,E01333,2025-07-02,2025-07-03,IT,Finance,Contract & Documents,Standard,Portal,A002,23,48,25.7,1,0,0,5
C000112,E01354,2025-07-02,2025-07-04,DE,Customer Service,Contract & Documents,High,Phone,A026,11,48,45.8,1,1,0,5
C000113,E01363,2025-07-02,2025-07-02,PL,Operations,Leave & Absence,Standard,Phone,A014,11,24,10.4,1,1,0,
C000114,E01430,2025-07-02,2025-07-02,PL,Sales,Leave & Absence,Standard,Portal,A041,22,24,7.0,1,0,1,
C000115,E01440,2025-07-02,2025-07-03,PL,Operations,Benefits,Standard,Portal,A022,19,48,24.2,1,1,0,5
C000116,E01445,2025-07-02,2025-07-03,ES,Tech,Payroll,Standard,Portal,A027,12,24,27.6,0,1,0,
C000117,E01484,2025-07-02,2025-07-02,IT,Customer Service,Systems & Access,High,Chat,A012,63,8,3.2,1,0,0,
C000118,E01624,2025-07-02,2025-07-02,PL,Operations,Systems & Access,Standard,Phone,A016,51,8,3.2,1,1,0,
C000119,E01643,2025-07-02,2025-07-03,PL,Operations,Payroll,Standard,Portal,A010,7,24,8.3,1,1,0,
C000120,E01671,2025-07-02,2025-07-03,DE,Operations,Payroll,Standard,Chat,A037,15,24,6.9,1,1,0,
C000121,E01758,2025-07-02,2025-07-04,DE,HR,Leave & Absence,Standard,Portal,A007,2,24,47.1,0,0,1,
C000122,E01848,2025-07-02,2025-07-04,ES,Customer Service,Employee Relations,High,Chat,A002,23,72,37.6,1,0,0,4
C000123,E01851,2025-07-02,2025-07-02,PL,Sales,Leave & Absence,Standard,Portal,A038,6,24,3.4,1,0,0,5
C000124,E01856,2025-07-02,2025-07-03,DE,Tech,Payroll,High,Chat,A016,51,24,17.1,1,1,0,5
C000125,E01910,2025-07-02,2025-07-03,ES,Tech,Employee Relations,Standard,Portal,A015,9,72,29.1,1,1,0,
C000126,E02037,2025-07-02,2025-07-02,DE,Operations,Systems & Access,Standard,Portal,A007,2,8,7.1,1,0,0,5
C000127,E02043,2025-07-02,2025-07-03,IT,Finance,Onboarding & Offboarding,Critical,Portal,A029,17,48,33.1,1,1,0,4
C000128,E02136,2025-07-02,2025-07-03,PL,Customer Service,Leave & Absence,Critical,Phone,A038,6,24,9.5,1,1,0,5
C000129,E02146,2025-07-02,2025-07-03,DE,Customer Service,Contract & Documents,Standard,Portal,A018,17,48,20.2,1,1,0,
C000130,E02172,2025-07-02,2025-07-03,ES,Operations,Contract & Documents,Standard,Portal,A006,4,48,21.8,1,0,1,
C000131,E02180,2025-07-02,2025-07-02,IT,Tech,Payroll,Standard,Portal,A022,19,24,4.4,1,0,1,
C000132,E02196,2025-07-02,2025-07-02,DE,HR,Systems & Access,High,Portal,A033,12,8,7.3,1,1,0,
C000133,E02307,2025-07-02,2025-07-02,IT,Tech,Payroll,Critical,Portal,A006,4,24,9.8,1,0,0,
C000134,E02319,2025-07-02,2025-07-03,IT,HR,Performance & Development,High,Portal,A034,20,72,24.3,1,0,1,
C000135,E02413,2025-07-02,2025-07-03,IT,Tech,Leave & Absence,Standard,Chat,A039,11,24,9.7,1,1,0,5
C000136,E02432,2025-07-02,2025-07-02,DE,Finance,Leave & Absence,High,Portal,A006,4,24,2.7,1,0,1,3
C000137,E02628,2025-07-02,2025-07-03,ES,Tech,Payroll,Standard,Phone,A021,29,24,28.1,0,0,0,2
C000138,E02735,2025-07-02,2025-07-02,IT,Sales,Systems & Access,Standard,Portal,A026,11,8,1.5,1,0,1,
C000139,E02899,2025-07-02,2025-07-02,PL,Customer Service,Systems & Access,High,Phone,A016,51,8,2.9,1,1,0,
C000140,E02908,2025-07-02,2025-07-03,ES,Finance,Leave & Absence,Standard,Portal,A007,2,24,15.4,1,0,0,4
C000141,E03058,2025-07-02,2025-07-02,PL,Customer Service,Contract & Documents,Standard,Chat,A027,12,48,6.7,1,1,0,
C000142,E03176,2025-07-02,2025-07-03,PL,Operations,Onboarding & Offboarding,Standard,Portal,A022,19,48,24.4,1,1,0,5
C000143,E03194,2025-07-02,2025-07-04,PL,Operations,Payroll,High,Phone,A010,7,24,40.6,0,1,0,
C000144,E03240,2025-07-02,2025-07-03,ES,Sales,Contract & Documents,Standard,Portal,A036,11,48,16.8,1,1,0,
C000145,E03255,2025-07-02,2025-07-03,IT,Tech,Contract & Documents,Standard,Portal,A008,18,48,11.4,1,1,0,5
C000146,E03287,2025-07-02,2025-07-03,IT,Finance,Payroll,Standard,Portal,A007,2,24,14.5,1,0,0,3
C000147,E03297,2025-07-02,2025-07-02,PL,Tech,Systems & Access,Standard,Phone,A041,22,8,0.6,1,1,0,5
C000148,E03299,2025-07-02,2025-07-02,IT,Customer Service,Leave & Absence,High,Phone,A037,15,24,4.3,1,1,0,4
C000149,E03441,2025-07-02,2025-07-04,PL,Tech,Performance & Development,Standard,Portal,A029,17,72,57.3,1,1,0,5
C000150,E03455,2025-07-02,2025-07-02,PL,Operations,Payroll,Standard,Portal,A026,11,24,7.4,1,1,0,
C000151,E03469,2025-07-02,2025-07-02,IT,HR,Payroll,Critical,Portal,A008,18,24,5.2,1,1,0,
C000152,E03504,2025-07-02,2025-07-02,DE,Sales,Benefits,Standard,Phone,A030,30,48,6.7,1,1,0,
C000153,E03524,2025-07-02,2025-07-02,IT,Operations,Systems & Access,High,Portal,A015,9,8,5.5,1,0,0,
C000154,E03597,2025-07-02,2025-07-03,PL,Sales,Contract & Documents,Standard,Chat,A024,21,48,34.7,1,1,0,5
C000155,E03616,2025-07-02,2025-07-07,IT,HR,Contract & Documents,Standard,Portal,A032,48,48,109.5,0,1,0,
C000156,E03665,2025-07-02,2025-07-02,IT,Finance,Leave & Absence,Standard,Portal,A023,52,24,9.1,1,0,1,
C000157,E03695,2025-07-02,2025-07-03,DE,Tech,Payroll,Standard,Portal,A015,9,24,17.9,1,1,0,5
C000158,E03707,2025-07-02,2025-07-05,IT,Finance,Onboarding & Offboarding,Standard,Portal,A014,11,48,60.9,0,1,0,3
C000159,E03743,2025-07-02,2025-07-04,DE,Customer Service,Benefits,Standard,Phone,A003,10,48,38.0,1,0,0,4
C000160,E03745,2025-07-02,2025-07-02,IT,Tech,Leave & Absence,Standard,Portal,A030,30,24,4.6,1,1,0,
C000161,E03812,2025-07-02,2025-07-02,PL,Tech,Leave & Absence,Standard,Portal,A021,29,24,1.9,1,1,0,
C000162,E03979,2025-07-02,2025-07-03,DE,HR,Performance & Development,Standard,Portal,A007,2,72,33.3,1,0,1,
C000163,E00038,2025-07-03,2025-07-04,IT,Customer Service,Onboarding & Offboarding,Standard,Phone,A009,20,48,25.7,1,0,0,5
C000164,E00113,2025-07-03,2025-07-04,DE,Operations,Payroll,Standard,Portal,A018,17,24,22.2,1,0,1,4
C000165,E00212,2025-07-03,2025-07-04,ES,Tech,Leave & Absence,Standard,Portal,A010,7,24,14.2,1,1,0,4
C000166,E00230,2025-07-03,2025-07-04,PL,Customer Service,Contract & Documents,Standard,Portal,A023,52,48,25.0,1,0,0,5
C000167,E00292,2025-07-03,2025-07-03,PL,HR,Payroll,Critical,Portal,A011,14,24,2.8,1,1,0,
C000168,E00338,2025-07-03,2025-07-03,DE,Customer Service,Systems & Access,Standard,Portal,A029,17,8,2.6,1,0,0,
C000169,E00395,2025-07-03,2025-07-03,ES,Tech,Benefits,Standard,Portal,A031,13,48,10.0,1,0,0,
C000170,E00482,2025-07-03,2025-07-04,PL,Tech,Leave & Absence,Standard,Phone,A013,5,24,14.1,1,0,0,5
C000171,E00495,2025-07-03,2025-07-04,PL,Operations,Leave & Absence,Standard,Portal,A032,48,24,18.4,1,1,0,
C000172,E00589,2025-07-03,2025-07-04,IT,Tech,Payroll,Standard,Chat,A010,7,24,16.8,1,1,0,
C000173,E00793,2025-07-03,2025-07-03,PL,Customer Service,Leave & Absence,Standard,Portal,A014,11,24,8.1,1,1,0,
C000174,E00873,2025-07-03,2025-07-03,DE,Customer Service,Systems & Access,Standard,Portal,A030,30,8,4.8,1,1,0,
C000175,E00955,2025-07-03,2025-07-03,ES,Operations,Systems & Access,Standard,Portal,A010,7,8,1.7,1,1,0,
C000176,E01038,2025-07-03,2025-07-03,PL,Customer Service,Onboarding & Offboarding,Standard,Phone,A002,23,48,11.2,1,1,0,5
C000177,E01186,2025-07-03,2025-07-07,IT,Tech,Performance & Development,High,Portal,A023,52,72,86.8,0,0,0,
C000178,E01230,2025-07-03,2025-07-04,IT,Customer Service,Onboarding & Offboarding,High,Chat,A002,23,48,17.3,1,1,0,5
C000179,E01233,2025-07-03,2025-07-04,IT,Finance,Contract & Documents,Standard,Portal,A034,20,48,22.5,1,0,1,
C000180,E01428,2025-07-03,2025-07-04,DE,Finance,Contract & Documents,Standard,Portal,A009,20,48,27.1,1,0,0,5
C000181,E01430,2025-07-03,2025-07-05,PL,Sales,Performance & Development,Standard,Portal,A026,11,72,39.4,1,1,0,
C000182,E01457,2025-07-03,2025-07-03,DE,Operations,Leave & Absence,Standard,Phone,A001,84,24,2.9,1,1,0,5
C000183,E01520,2025-07-03,2025-07-04,DE,Customer Service,Payroll,Standard,Phone,A013,5,24,19.2,1,0,0,
C000184,E01535,2025-07-03,2025-07-04,IT,Tech,Onboarding & Offboarding,Standard,Portal,A006,4,48,18.8,1,0,1,4
C000185,E01762,2025-07-03,2025-07-04,ES,Customer Service,Employee Relations,Standard,Chat,A025,3,72,23.0,1,1,0,5
C000186,E01857,2025-07-03,2025-07-04,ES,Customer Service,Contract & Documents,High,Chat,A010,7,48,22.4,1,1,0,5
C000187,E01906,2025-07-03,2025-07-04,PL,Operations,Leave & Absence,Standard,Chat,A030,30,24,11.1,1,1,0,5
C000188,E01946,2025-07-03,2025-07-05,ES,HR,Payroll,Standard,Phone,A007,2,24,48.3,0,1,0,
C000189,E01950,2025-07-03,2025-07-04,PL,Customer Service,Contract & Documents,Standard,Portal,A032,48,48,28.5,1,1,0,5
C000190,E01988,2025-07-03,2025-07-05,IT,Customer Service,Contract & Documents,Standard,Phone,A028,17,48,46.2,1,1,0,
C000191,E01993,2025-07-03,2025-07-04,PL,Customer Service,Onboarding & Offboarding,Standard,Chat,A040,9,48,32.2,1,1,0,5
C000192,E02039,2025-07-03,2025-07-05,PL,Operations,Employee Relations,Standard,Phone,A005,10,72,39.7,1,0,0,4
C000193,E02101,2025-07-03,2025-07-11,PL,Sales,Employee Relations,Standard,Portal,A004,2,72,190.1,0,0,1,2
C000194,E02120,2025-07-03,2025-07-08,ES,Customer Service,Payroll,Standard,Portal,A015,9,24,126.7,0,0,1,
C000195,E02172,2025-07-03,2025-07-03,ES,Operations,Payroll,Standard,Phone,A028,17,24,8.0,1,0,1,3
C000196,E02192,2025-07-03,2025-07-04,DE,Sales,Systems & Access,High,Portal,A038,6,8,14.1,0,0,1,
C000197,E02284,2025-07-03,2025-07-03,PL,Customer Service,Payroll,High,Chat,A027,12,24,6.1,1,1,0,5
C000198,E02333,2025-07-03,2025-07-03,ES,HR,Payroll,Standard,Chat,A006,4,24,10.3,1,0,0,5
C000199,E02594,2025-07-03,2025-07-04,IT,Operations,Leave & Absence,Standard,Phone,A020,11,24,15.7,1,1,0,4
C000200,E02634,2025-07-03,2025-07-03,IT,Sales,Leave & Absence,High,Phone,A013,5,24,10.1,1,0,0,4
C000201,E02679,2025-07-03,2025-07-04,PL,Customer Service,Leave & Absence,Standard,Portal,A020,11,24,21.6,1,0,0,4
C000202,E02821,2025-07-03,2025-07-05,DE,Tech,Payroll,Standard,Portal,A023,52,24,36.4,0,1,0,
C000203,E02841,2025-07-03,2025-07-03,PL,Operations,Payroll,Standard,Chat,A013,5,24,9.6,1,0,1,3
C000204,E02889,2025-07-03,2025-07-04,PL,Sales,Leave & Absence,Standard,Portal,A028,17,24,19.1,1,1,0,5
C000205,E02900,2025-07-03,2025-07-03,DE,Finance,Payroll,Standard,Portal,A029,17,24,4.0,1,0,0,5
C000206,E03013,2025-07-03,2025-07-04,DE,Finance,Leave & Absence,Standard,Portal,A016,51,24,12.2,1,1,0,
C000207,E03097,2025-07-03,2025-07-03,ES,Customer Service,Contract & Documents,Standard,Phone,A001,84,48,8.8,1,1,0,5
C000208,E03169,2025-07-03,2025-07-03,PL,Customer Service,Contract & Documents,High,Portal,A016,51,48,13.8,1,1,0,
C000209,E03169,2025-07-03,2025-07-04,PL,Customer Service,Payroll,High,Chat,A029,17,24,14.2,1,1,0,4
C000210,E03214,2025-07-03,2025-07-04,PL,Operations,Onboarding & Offboarding,Standard,Portal,A008,18,48,29.7,1,1,0,
C000211,E03283,2025-07-03,2025-07-03,PL,Finance,Leave & Absence,Standard,Portal,A012,63,24,8.5,1,1,0,5
C000212,E03385,2025-07-03,2025-07-03,IT,Operations,Leave & Absence,Standard,Portal,A004,2,24,8.6,1,1,0,3
C000213,E03469,2025-07-03,2025-07-04,IT,HR,Leave & Absence,High,Chat,A024,21,24,12.1,1,0,0,5
C000214,E03480,2025-07-03,2025-07-03,PL,Customer Service,Contract & Documents,High,Portal,A039,11,48,8.4,1,1,0,
C000215,E03509,2025-07-03,2025-07-05,DE,Customer Service,Contract & Documents,Standard,Portal,A003,10,48,40.2,1,0,1,3
C000216,E03523,2025-07-03,2025-07-04,PL,Finance,Leave & Absence,High,Portal,A035,21,24,22.9,1,1,0,4
C000217,E03542,2025-07-03,2025-07-05,PL,Sales,Benefits,Standard,Portal,A017,27,48,52.6,0,0,0,4
C000218,E03549,2025-07-03,2025-07-04,PL,Tech,Leave & Absence,Standard,Portal,A015,9,24,10.1,1,1,0,
C000219,E03724,2025-07-03,2025-07-03,PL,Finance,Payroll,Standard,Portal,A030,30,24,3.9,1,0,0,
C000220,E03784,2025-07-03,2025-07-03,PL,Finance,Contract & Documents,Standard,Portal,A021,29,48,6.0,1,1,0,
